code,name,market,updated_at,added_at
001233,海安集团,sz,2026-04-02,
001234,泰慕士,sz,2026-04-02,
001236,弘业期货,sz,2026-04-02,
001238,浙江正特,sz,2026-04-02,
001239,永达股份,sz,2026-04-02,
001255,博菲电气,sz,2026-04-02,
001256,炜冈科技,sz,2026-04-02,
001257,C盛龙,sz,2026-04-02,
001258,立新能源,sz,2026-04-02,
001259,利仁科技,sz,2026-04-02,
001260,坤泰股份,sz,2026-04-02,
001266,宏英智能,sz,2026-04-02,
001267,汇绿生态,sz,2026-04-02,
001268,联合精密,sz,2026-04-02,
001269,欧晶科技,sz,2026-04-02,
001277,速达股份,sz,2026-04-02,
001278,一彬科技,sz,2026-04-02,
001279,强邦新材,sz,2026-04-02,
001280,中国铀业,sz,2026-04-02,
001282,三联锻造,sz,2026-04-02,
001283,豪鹏科技,sz,2026-04-02,
001285,瑞立科密,sz,2026-04-02,
001286,陕西能源,sz,2026-04-02,
001287,中电港,sz,2026-04-02,
001288,运机集团,sz,2026-04-02,
001289,龙源电力,sz,2026-04-02,
001296,长江材料,sz,2026-04-02,
001298,好上好,sz,2026-04-02,
001299,美能能源,sz,2026-04-02,
001300,三柏硕,sz,2026-04-02,
001301,尚太科技,sz,2026-04-02,
001306,夏厦精密,sz,2026-04-02,
001308,康冠科技,sz,2026-04-02,
001309,德明利,sz,2026-04-02,
001311,多利科技,sz,2026-04-02,
001313,粤海饲料,sz,2026-04-02,
001314,亿道信息,sz,2026-04-02,
001316,润贝航科,sz,2026-04-02,
001317,三羊马,sz,2026-04-02,
001318,阳光乳业,sz,2026-04-02,
001319,铭科精技,sz,2026-04-02,
001322,箭牌家居,sz,2026-04-02,
001323,慕思股份,sz,2026-04-02,
001324,长青科技,sz,2026-04-02,
001325,元创股份,sz,2026-04-02,
001326,联域股份,sz,2026-04-02,
001328,登康口腔,sz,2026-04-02,
001330,博纳影业,sz,2026-04-02,
001331,胜通能源,sz,2026-04-02,
001332,锡装股份,sz,2026-04-02,
001333,光华股份,sz,2026-04-02,
001335,信凯科技,sz,2026-04-02,
001336,楚环科技,sz,2026-04-02,
001337,四川黄金,sz,2026-04-02,
001338,永顺泰,sz,2026-04-02,
001339,智微智能,sz,2026-04-02,
001356,富岭股份,sz,2026-04-02,
001358,兴欣新材,sz,2026-04-02,
001359,平安电工,sz,2026-04-02,
001360,南矿集团,sz,2026-04-02,
001366,播恩集团,sz,2026-04-02,
001367,海森药业,sz,2026-04-02,
001368,通达创智,sz,2026-04-02,
001369,双欣材料,sz,2026-04-02,
001373,翔腾新材,sz,2026-04-02,
001376,百通能源,sz,2026-04-02,
001378,德冠新材,sz,2026-04-02,
001379,腾达科技,sz,2026-04-02,
001380,华纬科技,sz,2026-04-02,
001382,新亚电缆,sz,2026-04-02,
001386,马可波罗,sz,2026-04-02,
001387,雪祺电气,sz,2026-04-02,
001388,信通电子,sz,2026-04-02,
001389,广合科技,sz,2026-04-02,
001390,古麒绒材,sz,2026-04-02,
001391,国货航,sz,2026-04-02,
001395,亚联机械,sz,2026-04-02,
001396,誉帆科技,sz,2026-04-02,
001400,江顺科技,sz,2026-04-02,
001696,宗申动力,sz,2026-04-02,
001872,招商港口,sz,2026-04-02,
001896,豫能控股,sz,2026-04-02,
001914,招商积余,sz,2026-04-02,
001965,招商公路,sz,2026-04-02,
001979,招商蛇口,sz,2026-04-02,
002001,新 和 成,sz,2026-04-02,
002003,伟星股份,sz,2026-04-02,
002004,华邦健康,sz,2026-04-02,
002006,精工科技,sz,2026-04-02,
002007,华兰生物,sz,2026-04-02,
002008,大族激光,sz,2026-04-02,
002009,天奇股份,sz,2026-04-02,
002010,传化智联,sz,2026-04-02,
002011,盾安环境,sz,2026-04-02,
002012,凯恩股份,sz,2026-04-02,
002014,永新股份,sz,2026-04-02,
002015,协鑫能科,sz,2026-04-02,
002016,世荣兆业,sz,2026-04-02,
002017,东信和平,sz,2026-04-02,
002019,亿帆医药,sz,2026-04-02,
002020,京新药业,sz,2026-04-02,
002021,中捷资源,sz,2026-04-02,
002022,科华生物,sz,2026-04-02,
002023,海特高新,sz,2026-04-02,
002025,航天电器,sz,2026-04-02,
002026,山东威达,sz,2026-04-02,
002027,分众传媒,sz,2026-04-02,
002028,思源电气,sz,2026-04-02,
002029,七 匹 狼,sz,2026-04-02,
002030,达安基因,sz,2026-04-02,
002031,巨轮智能,sz,2026-04-02,
002032,苏 泊 尔,sz,2026-04-02,
002033,丽江股份,sz,2026-04-02,
002034,旺能环境,sz,2026-04-02,
002035,华帝股份,sz,2026-04-02,
002036,联创电子,sz,2026-04-02,
002037,保利联合,sz,2026-04-02,
002038,双鹭药业,sz,2026-04-02,
002039,黔源电力,sz,2026-04-02,
002040,南 京 港,sz,2026-04-02,
002041,登海种业,sz,2026-04-02,
002042,华孚时尚,sz,2026-04-02,
002043,兔 宝 宝,sz,2026-04-02,
002044,美年健康,sz,2026-04-02,
002045,国光电器,sz,2026-04-02,
002046,国机精工,sz,2026-04-02,
002048,宁波华翔,sz,2026-04-02,
002049,紫光国微,sz,2026-04-02,
002050,三花智控,sz,2026-04-02,
002051,中工国际,sz,2026-04-02,
002052,同洲电子,sz,2026-04-02,
002053,云南能投,sz,2026-04-02,
002054,德美化工,sz,2026-04-02,
002056,横店东磁,sz,2026-04-02,
002057,中钢天源,sz,2026-04-02,
002059,云南旅游,sz,2026-04-02,
002060,广东建工,sz,2026-04-02,
002061,浙江交科,sz,2026-04-02,
002062,宏润建设,sz,2026-04-02,
002063,远光软件,sz,2026-04-02,
002064,华峰化学,sz,2026-04-02,
002065,东华软件,sz,2026-04-02,
002066,瑞泰科技,sz,2026-04-02,
002067,景兴纸业,sz,2026-04-02,
